video_id,video_folder,filename,relative_path,timestamp_seconds,timestamp_minutes,bin_fine,bin_coarse,mask_zones
katarina_mid,processed_frames/katarina_mid,frame_10.jpg,katarina_mid/frame_10.jpg,10,0.17,0-5min,early_game,"[(0, 0, 1920, 120), (0, 850, 380, 1080), (580, 840, 1480, 1080), (0, 0, 400, 200), (0, 0, 100, 700), (1820, 0, 1920, 700), (1720, 700, 1920, 800)]"
katarina_mid,processed_frames/katarina_mid,frame_15.jpg,katarina_mid/frame_15.jpg,15,0.25,0-5min,early_game,"[(0, 0, 1920, 120), (0, 850, 380, 1080), (580, 840, 1480, 1080), (0, 0, 400, 200), (0, 0, 100, 700), (1820, 0, 1920, 700), (1720, 700, 1920, 800)]"
katarina_mid,processed_frames/katarina_mid,frame_20.jpg,katarina_mid/frame_20.jpg,20,0.33,0-5min,early_game,"[(0, 0, 1920, 120), (0, 850, 380, 1080), (580, 840, 1480, 1080), (0, 0, 400, 200), (0, 0, 100, 700), (1820, 0, 1920, 700), (1720, 700, 1920, 800)]"
katarina_mid,processed_frames/katarina_mid,frame_25.jpg,katarina_mid/frame_25.jpg,25,0.42,0-5min,early_game,"[(0, 0, 1920, 120), (0, 850, 380, 1080), (580, 840, 1480, 1080), (0, 0, 400, 200), (0, 0, 100, 700), (1820, 0, 1920, 700), (1720, 700, 1920, 800)]"
katarina_mid,processed_frames/katarina_mid,frame_30.jpg,katarina_mid/frame_30.jpg,30,0.5,0-5min,early_game,"[(0, 0, 1920, 120), (0, 850, 380, 1080), (580, 840, 1480, 1080), (0, 0, 400, 200), (0, 0, 100, 700), (1820, 0, 1920, 700), (1720, 700, 1920, 800)]"
katarina_mid,processed_frames/katarina_mid,frame_35.jpg,katarina_mid/frame_35.jpg,35,0.58,0-5min,early_game,"[(0, 0, 1920, 120), (0, 850, 380, 1080), (580, 840, 1480, 1080), (0, 0, 400, 200), (0, 0, 100, 700), (1820, 0, 1920, 700), (1720, 700, 1920, 800)]"
katarina_mid,processed_frames/katarina_mid,frame_40.jpg,katarina_mid/frame_40.jpg,40,0.67,0-5min,early_game,"[(0, 0, 1920, 120), (0, 850, 380, 1080), (580, 840, 1480, 1080), (0, 0, 400, 200), (0, 0, 100, 700), (1820, 0, 1920, 700), (1720, 700, 1920, 800)]"
katarina_mid,processed_frames/katarina_mid,frame_45.jpg,katarina_mid/frame_45.jpg,45,0.75,0-5min,early_game,"[(0, 0, 1920, 120), (0, 850, 380, 1080), (580, 840, 1480, 1080), (0, 0, 400, 200), (0, 0, 100, 700), (1820, 0, 1920, 700), (1720, 700, 1920, 800)]"
katarina_mid,processed_frames/katarina_mid,frame_50.jpg,katarina_mid/frame_50.jpg,50,0.83,0-5min,early_game,"[(0, 0, 1920, 120), (0, 850, 380, 1080), (580, 840, 1480, 1080), (0, 0, 400, 200), (0, 0, 100, 700), (1820, 0, 1920, 700), (1720, 700, 1920, 800)]"
katarina_mid,processed_frames/katarina_mid,frame_55.jpg,katarina_mid/frame_55.jpg,55,0.92,0-5min,early_game,"[(0, 0, 1920, 120), (0, 850, 380, 1080), (580, 840, 1480, 1080), (0, 0, 400, 200), (0, 0, 100, 700), (1820, 0, 1920, 700), (1720, 700, 1920, 800)]"
